rank,first_name,last_name,team,position,gp,shoots,goals,assists,points,ppg
144,Tucker,Harris,Avon Old Farms,F,11,L,5,7,12,1.09
145,Will,Norton,Pomfret,F,16,L,9,3,12,0.75
146,Jake,Pandolfo,Austin Prep,F,17,L,5,7,12,0.71
147,Jason,Faith,Andover,F,15,R,4,8,12,0.8
148,Drew,Gallucci,Pingree,F,12,L,6,6,12,1
149,Dylan,Chery,Taft,F,10,L,8,4,12,1.2
150,Dylan,Hall,Frederick Gunn,D,15,L,6,6,12,0.8
151,Jackson,Davies,Kimball Union,F,20,,2,10,12,0.6
152,Brendan,Matthews,St. Sebastian's,F,12,R,3,9,12,1
153,Declan,Grenache,Williston-Northampton,F,15,L,7,5,12,0.8
154,Joseph,Covelluzzi,Cushing Academy,F,15,R,8,4,12,0.8
155,Anderson,Kilbourne,St. Paul's School,F,14,R,4,8,12,0.86
156,Liam,Donnelly,Avon Old Farms,D,11,R,5,7,12,1.09
157,Jamie,Calla,Governors Academy,F,13,R,7,5,12,0.92
158,Zach,Greenlund,The Hill School,F,16,R,1,11,12,0.75
159,Matthew,Macinnis,Winchendon,D,16,L,4,8,12,0.75
160,Carter,Johnson,Berkshire School,F,17,L,1,11,12,0.71
161,Justin,Fernandez,Millbrook,F,19,R,3,8,11,0.58
162,Charlie,MacLeod,Kimball Union,F,19,,5,6,11,0.58
163,Marko,Huo,NMH,D,17,R,2,9,11,0.65
164,Anthony,Pomarico,Winchendon,D,16,L,1,10,11,0.69
165,Kaden,Kern,Winchendon,F,16,L,1,10,11,0.69
166,Richard,Shin,Kent School,F,13,R,5,6,11,0.85
167,Jack,Welby,Holderness,F,11,L,9,2,11,1
168,Felix,Menard,The Hill School,F,16,L,5,6,11,0.69
169,Ryan,Magaletta,St. Georges,F,14,L,3,8,11,0.79
170,Ethan,Figueiredo,Mount St. Charles,F,8,L,5,6,11,1.38
171,Harry,Dermody,St. Paul's School,F,16,L,6,5,11,0.69
172,Ryan,Vohra,St. Paul's School,F,16,L,5,6,11,0.69
173,Henry,Colbert,Holderness,F,12,R,3,8,11,0.92
174,Britton,Bethard,Canterbury,F,15,R,6,5,11,0.73
175,Owen,Schwarz,Loomis Chaffee,F,12,L,6,5,11,0.92
176,Alex,Stahl,Exeter,D/F,14,R,4,7,11,0.79
177,Tucker,Mears,Frederick Gunn,F,15,R,3,8,11,0.73
178,Nathan,Desanto,Frederick Gunn,F,15,R,8,3,11,0.73
179,Greg,Najda,Choate Rosemary Hall,F,11,L,5,6,11,1
180,Luke,Allen,Lawrence Academy,RW,13,R,8,3,11,0.85
181,Brayden,White,Williston-Northampton,F,15,,4,7,11,0.73
182,Owen,Carter,Tabor,D,13,R,4,7,11,0.85
183,Austin,Wu,Dexter,F,16,L,5,6,11,0.69
184,Joseph,Marchi,Dexter,F,13,R,1,10,11,0.85
185,John,Williams,BB&N,F,11,R,6,5,11,1
186,Cameron,Daigle,St. Georges,F,13,R,5,6,11,0.85
187,Parker,Murch,Cushing Academy,F,14,R,5,6,11,0.79
188,Jack,Grahling,Millbrook,F,19,R,6,5,11,0.58
189,AJ,Jones,Holderness,F,12,L,4,7,11,0.92
190,Chase,Watts,Tabor,F,13,L,4,7,11,0.85
191,Anthony,Leech,Kimball Union,D,19,,2,9,11,0.58
192,Camden,Tabb,Williston-Northampton,F,15,L,5,6,11,0.73
193,Reed,Kenney,Berwick,F,15,L,5,6,11,0.73
194,Jake,Donatelli,St. Georges,D,14,L,1,10,11,0.79
195,Harry,Seely,North Yarmouth,F,20,R,2,9,11,0.55
196,Max,Prudovsky,Dexter,F,16,L,2,9,11,0.69
197,Ben,Marcolini,Cushing Academy,F,15,L,4,7,11,0.73
198,Edouard,Cantin,Winchendon,F,16,R,2,9,11,0.69
199,Zachary,Fedele,Andover,D,15,L,4,7,11,0.73
200,Steven,Khonroo,Winchendon,F,16,R,1,10,11,0.69
201,Zach,Gay,Tilton,F,15,R,5,5,10,0.67
202,Carter,Cowan,Kimball Union,F,20,,4,6,10,0.5
203,Mason,St. Louis,Brunswick,F,14,,4,6,10,0.71
204,Ethan,Goodrich,St. Georges,F,13,L,5,5,10,0.77
205,Liam,Hewins,Worcester Academy,F,11,R,7,3,10,0.91
206,Preston,Kelly-Paquet,Berkshire School,F,17,L,5,5,10,0.59
207,Elliot,Wood,Groton,D,13,R,4,6,10,0.77
208,Ryan,Murray,Hotchkiss School,F,10,L,6,4,10,1
209,Graham,Luskin,Pingree,D,13,L,3,7,10,0.77
210,Tim,Sullivan,Proctor Academy,F,16,R,2,8,10,0.63
211,Gus,Lambert,Berwick,F,15,L,5,5,10,0.67
212,Jack,Galvin,Austin Prep,D,17,R,2,8,10,0.59
213,Gavin,Holland,Lawrence Academy,D,12,R,1,9,10,0.83
214,Matteo,Alvarez,Deerfield Academy,F,12,R,6,4,10,0.83
215,Alex,Strug,Deerfield Academy,F,12,L,5,5,10,0.83
216,Easton,Kinsler,Choate Rosemary Hall,F,11,L,5,5,10,0.91
217,Kane,Mori,Holderness,F,12,L,6,4,10,0.83
218,Stephen,Connolly,North Yarmouth,F,20,L,8,2,10,0.5
219,Alex,Reed,Tilton,F,15,R,5,5,10,0.67
220,Chance,Bolton,Milton Academy,D,16,R,2,8,10,0.63
221,Dylan,Chernoff,Berkshire School,F,17,R,6,4,10,0.59
222,Sam,Fishbone,St. Sebastian's,D,12,R,1,9,10,0.83
223,Timothy,Donohue,Westminster,F,11,L,3,7,10,0.91
224,Bryan,Aquino,Lawrenceville School,F,11,R,3,7,10,0.91
225,Cam,Potter,Worcester Academy,D,13,L,1,9,10,0.77
226,Gus,Chong,Berkshire School,D,17,R,0,10,10,0.59
227,Nick,Ware,Belmont Hill,D,16,,0,10,10,0.63
228,Jake,Harrison,Hotchkiss School,F,10,R,0,10,10,1
229,Thomas,Wilson,Exeter,D,14,L,1,8,9,0.64
230,Owen,Cheever,North Yarmouth,D,12,L,1,8,9,0.75
231,Alex,Theodore,Andover,F,13,L,7,2,9,0.69
232,Tanner,Smith,Albany Academy,F,18,R,5,4,9,0.5
233,Thomas,Ojard,Kimball Union,D,20,,4,5,9,0.45
234,Mike,Tober,Mount St. Charles,F,8,R,8,1,9,1.13
235,Quinn,Brandell,St. Paul's School,D,16,L,4,5,9,0.56
236,Will,Watson,Loomis Chaffee,F,11,R,4,5,9,0.82
237,Oliver,Svoboda,Cushing Academy,D,15,L,1,8,9,0.6
238,Edouard,Belval-Turmel,Proctor Academy,D,16,L,1,8,9,0.56
239,William,Wright,Frederick Gunn,F,15,R,2,7,9,0.6
240,Adam,Lopashanski,Berwick,F,15,R,2,7,9,0.6
241,Callum,Green,St. Paul's School,F,16,L,6,3,9,0.56
242,Nick,Dias,Brooks School,F,11,L,5,4,9,0.82
243,Cameron,Roof,BB&N,D,11,R,2,7,9,0.82
244,Nolan,Roberts,Andover,F,15,R,3,6,9,0.6
245,Hampus,Vandenberg,Brunswick,D,14,,2,7,9,0.64
246,Cameron,Clark,Berwick,D,15,R,5,4,9,0.6
247,Gino,LaRusso,Canterbury,F,15,L,2,7,9,0.6
248,Lukas,Machan,Deerfield Academy,F,12,L,4,5,9,0.75
249,Jeff,Swartz,Cushing Academy,C,15,L,5,4,9,0.6
250,Alistair,At. Hilaire,Lawrenceville School,F,11,R,4,5,9,0.82
251,Owen,Connolly,Avon Old Farms,F,11,L,3,5,8,0.73
252,Chris,Thompson,Deerfield Academy,F,12,R,5,3,8,0.67
253,Jake,Speck,Milton Academy,F,16,R,4,4,8,0.5
254,Sam,Farrell,Middlesex,F,10,L,4,4,8,0.8
255,Jack,Dahill,Brooks School,F,11,L,5,3,8,0.73
256,Ryan,Quirk,St. Georges,F,14,L,5,3,8,0.57
257,Alex,Nolan,Hotchkiss School,F,10,R,2,6,8,0.8
258,George,Gritsenko,New Hampton,F,17,R,3,5,8,0.47
259,Will,Burr,Loomis Chaffee,F,12,R,3,5,8,0.67
260,Jack,Schaal,Salisbury School,F,12,,6,2,8,0.67
261,Kevin,Mannix,Westminster,F,11,R,2,6,8,0.73
262,Marek,Hrnciar,Canterbury,F,15,R,4,4,8,0.53
263,James,Levis,Andover,F,15,R,2,6,8,0.53
264,Garrett,Kohler,Andover,F,15,R,3,5,8,0.53
265,Evan,Benoit,Albany Academy,F,18,L,2,6,8,0.44
266,Finn,Dorrity,Brunswick,D,14,,2,6,8,0.57
267,Jake,Crowley,Exeter,F,14,R,2,6,8,0.57
268,Will,Frain,Lawrence Academy,F,13,L,3,5,8,0.62
269,John,Crowley,Groton,F,13,R,2,6,8,0.62
270,Jack,Daly,Salisbury School,F,12,,4,4,8,0.67
271,Caleb,Howe,Millbrook,F,19,R,2,6,8,0.42
272,Braden,Marshall,Westminster,D,11,R,1,7,8,0.73
273,Alek,Geffken,Proctor Academy,D,16,R,4,4,8,0.5
274,Isaac,Lavoie,North Yarmouth,F,20,L,3,5,8,0.4
275,Charlie,Blake,Andover,F,15,R,4,4,8,0.53
276,Ollie,Haynes,Mount St. Charles,F,10,L,4,4,8,0.8
277,Matthew,Patko,Canterbury,D,14,L,3,5,8,0.57
278,Logan,Martel,Canterbury,D,15,L,2,6,8,0.53
279,Gavin,Burley,New Hampton,F,17,L,2,6,8,0.47
280,Ryan,Tartaglione,Frederick Gunn,F,15,R,3,5,8,0.53
281,James,Ferreira,BB&N,F,11,L,2,6,8,0.73
282,Andrew,Martin,Brooks School,F,10,L,4,4,8,0.8
283,Oliver,Quong,New Hampton,F,16,L,1,7,8,0.5
284,Brady,Grislis,Pomfret,F,16,,2,6,8,0.5
285,Maks,Morgoslepov,Avon Old Farms,F,11,L,4,4,8,0.73
286,Jonas,Marek,NMH,F,16,L,3,5,8,0.5
287,Owen,Andrews,Deerfield Academy,F,12,L,4,4,8,0.67
288,Nick,Ferrie,Loomis Chaffee,F,12,L,3,5,8,0.67
289,Cam,Joinville,Worcester Academy,F,13,R,3,5,8,0.62
290,Tegan,Gregory,Holderness,D,12,L,1,7,8,0.67
291,Kris,Soja,Noble & Greenough,D,13,L,1,7,8,0.62
292,Zach,Mohamed,Noble & Greenough,F,13,L,4,4,8,0.62
293,Marcello,Martinelli,Tabor,D,13,L,1,7,8,0.62
294,Michael,Rutledge,Millbrook,D,19,R,3,5,8,0.42
295,Evan,Handler,Rivers School,D,10,R,2,6,8,0.8
296,Cam,Swank,St. Marks,D,12,R,5,3,8,0.67
297,Jake,Cabral,New Hampton,F,17,L,6,2,8,0.47
298,Matt,Lumia,Kents Hill,F,15,L,2,6,8,0.53
299,Jack,O'Dell,Andover,D,15,R,4,4,8,0.53
300,Harry,Holland,Deerfield Academy,D,11,R,1,7,8,0.73
301,Cameron,Conklin,Choate Rosemary Hall,F,11,L,2,6,8,0.73
302,Aiden,Grinshpun,Kent School,F,8,R,4,4,8,1
303,Alex,Bourque,Proctor Academy,D,16,L,1,7,8,0.5
304,Logan,Cotter,St. Marks,D,12,,3,5,8,0.67
305,Will,Cooney,St. Marks,F,12,L,1,7,8,0.67
306,Tavian,Mandeville,Rivers School,D,10,L,2,6,8,0.8
307,Austin,Groves,Hotchkiss School,F,10,L,5,3,8,0.8
308,Chase,Green,Austin Prep,F,17,L,2,6,8,0.47
309,Cooper,Hosmer,Milton Academy,F,16,R,3,5,8,0.5
310,Cooper,Schuhwerk,Governors Academy,D,11,R,1,7,8,0.73
311,Cullen,Gullott,Lawrence Academy,F,13,L,4,4,8,0.62
312,Griffin,Halecki,Tilton,F,15,L,3,5,8,0.53
313,Brian,McFadden,Thayer Academy,D,14,R,1,7,8,0.57
314,Heyden,Hildebrandt,Tabor,F,13,L,0,8,8,0.62
315,Jack,Couture,Governors Academy,D,14,L,0,8,8,0.57
316,Brendan,McCarthy,Exeter,D,14,R,2,5,7,0.5
317,Matt,Hines,Dexter,D,13,R,2,5,7,0.54
318,Joey,Riganti,Albany Academy,F,18,R,2,5,7,0.39
319,Aiden,Craft,Exeter,F,14,R,4,3,7,0.5
320,Tristan,Dandel,Hoosac,F,9,L,5,2,7,0.78
321,Zach,Broccolo,Kents Hill,F,16,L,3,4,7,0.44
322,Cole,Longfield,St. Georges,F,14,L,4,3,7,0.5
323,Harrison,McLean,Berkshire School,D,17,L,2,5,7,0.41
324,Connor,Wig,Groton,D,13,L,1,6,7,0.54
325,Davis,Jamison,Groton,F,13,,6,1,7,0.54
326,Sebastien,Drouin,Groton,F,13,,3,4,7,0.54
327,Maddox,Larocque,Vermont Academy,F,16,R,5,2,7,0.44
328,Blake,Postles,Vermont Academy,F,16,R,5,2,7,0.44
329,Logan,McGovern,Austin Prep,D,17,L,4,3,7,0.41
330,Jaden,Ficek,St. Paul's School,F,16,R,4,3,7,0.44
331,Aidan,McNeal,Worcester Academy,D,13,R,2,5,7,0.54
332,Owen,Burke,Westminster,F,11,L,5,2,7,0.64
333,Will,Derbyshire,Westminster,F,11,R,4,3,7,0.64
334,Michael,Barrett,Andover,F,15,,6,1,7,0.47
335,Owen,Gibbons,Brunswick,F,14,,3,4,7,0.5
336,Keegan,Kazan,Brunswick,F,14,,2,5,7,0.5
337,Luke,Morin,Rivers School,F,10,R,4,3,7,0.7
338,Ryan,Collins,Frederick Gunn,D,15,R,2,5,7,0.47
339,Chris,Paolone,Frederick Gunn,D,15,R,2,5,7,0.47
340,Preston,Abbott,New Hampton,D,17,L,1,6,7,0.41
341,Noah,Fitzsimons,Kent School,F,13,L,2,5,7,0.54
342,Luca,Didio,Albany Academy,F,18,R,3,4,7,0.39
343,Maxx,Corradi,Avon Old Farms,F,11,L,2,5,7,0.64
344,Will,Pratt,Rivers School,D,9,L,2,5,7,0.78
345,Quaye,MacDonald,Holderness,F,12,R,2,5,7,0.58
346,Ares,Miller,Tabor,F,13,L,4,3,7,0.54
347,Sebastian,Mogull,Cushing Academy,F,15,R,3,4,7,0.47
348,Avin,Rodovsky,Kents Hill,F,16,R,2,5,7,0.44
349,Tommy,Moore,Dexter,F,16,R,5,2,7,0.44
350,Frank,Fan,Pomfret,F,16,,3,4,7,0.44
351,Nikolai,Bazalitski,Loomis Chaffee,F,11,L,4,3,7,0.64
352,Martyn,Ogorodnikov,Kent School,D,12,R,2,5,7,0.58
353,Colton,Simas,Deerfield Academy,F,10,R,2,5,7,0.7
354,Ty,Curry,St. Sebastian's,F,12,R,1,6,7,0.58
355,Kaiden,Donia,Groton,D,13,R,2,5,7,0.54
356,Levi,Jones,Vermont Academy,F,16,L,2,5,7,0.44
357,Coen,Bassler,Winchendon,F,11,L,3,4,7,0.64
358,Payton,Tracy,St. Georges,D,10,L,1,6,7,0.7
359,James,Hayward,Pomfret,F,16,,3,4,7,0.44
360,Wil,DeMan,The Hill School,D,16,L,2,5,7,0.44
361,Aidan,Norton,Pomfret,D,16,L,2,5,7,0.44
362,Domenico,Clarizio,Taft,F,10,R,4,3,7,0.7
363,Dennis,Klimashov,Austin Prep,F,17,L,1,6,7,0.41
364,Ryan,Porter,Dexter,D,16,L,1,6,7,0.44
365,Michael,McGrath,Deerfield Academy,F,9,L,1,6,7,0.78
366,Olivier,Tellier,Albany Academy,D,18,L,0,7,7,0.39
367,Ben,English,Worcester Academy,D,13,L,0,7,7,0.54
368,Owen,Hughes,Austin Prep,D,17,R,0,7,7,0.41
369,Lucas,Smith,Berkshire School,D,17,L,0,7,7,0.41
370,Michael,Mosher,Holderness,D,12,L,0,7,7,0.58
371,Joel,Thompson,St. Georges,D,14,R,0,7,7,0.5
372,Cazimir,Wotkowicz,Tilton,F,15,L,4,2,6,0.4
373,Ryan,Shanahan,Tilton,F,15,R,2,4,6,0.4
374,Eddie,Hannan,Tilton,D,15,L,2,4,6,0.4
375,Matthew,McLellan,Tilton,F,15,R,4,2,6,0.4
376,Bryce,Turmel,Tilton,F,15,L,4,2,6,0.4
377,Max,Monroe,Berkshire School,D,17,R,2,4,6,0.35
378,James,Jackson,Brunswick,F,14,,3,3,6,0.43
379,Ben,Lombardi,Brunswick,F,14,,4,2,6,0.43
380,Jack,Thompson,Brunswick,F,14,,5,1,6,0.43
381,Brayden,Erickson,St. Georges,F,13,R,3,3,6,0.46
382,Thomas,Birks,St. Marks,F,9,L,2,4,6,0.67
383,Jimmy,Carrara,Mount St. Charles,F,10,L,2,4,6,0.6
384,John,Bentley,St. Paul's School,F,16,L,1,5,6,0.38
385,Grover,Henderson,Avon Old Farms,F,10,R,2,4,6,0.6
386,Matthew,Wallace,Hotchkiss School,F,10,R,4,2,6,0.6
387,Brenden,Gilooly,Westminster,F,11,R,3,3,6,0.55
388,Cole,Cournoyer,Berwick,F,15,R,3,3,6,0.4
389,Dylan,Kolcun,Lawrenceville School,F,11,R,3,3,6,0.55
390,Hudson,Wood,Brooks School,F,11,R,2,4,6,0.55
391,Easton,Anello,Williston-Northampton,D,15,L,1,5,6,0.4
392,Michael,Block,Frederick Gunn,D,15,R,1,5,6,0.4
393,Mikey,Dossier,Choate Rosemary Hall,F,10,L,3,3,6,0.6
394,Carter,Watson,Dexter,F,16,R,3,3,6,0.38
395,Giovanni,Ferrucci,Loomis Chaffee,F,12,R,4,2,6,0.5
396,Ryan,Holmes,Westminster,F,11,L,4,2,6,0.55
397,Max,O'Regan,St. Paul's School,F,10,L,4,2,6,0.6
398,Bruce,Li,Groton,D,13,,1,5,6,0.46
399,Donovan,Richards,Lawrenceville School,F,11,L,3,3,6,0.55
400,Jan,Mrnavy,Hoosac,D,9,L,1,5,6,0.67
401,Malkin,Pierre,Millbrook,F,13,L,4,2,6,0.46
402,Alex,Gadbois,Kents Hill,F,16,L,2,4,6,0.38
403,Max,Yakub,Avon Old Farms,D,11,L,1,5,6,0.55
404,Jack,Devlin,Mount St. Charles,D,10,L,1,5,6,0.6
405,Cam,Reed,Mount St. Charles,F,10,L,2,4,6,0.6
406,Jeremy,Lavoie,Hebron,F,15,,3,3,6,0.4
407,Phil,Skoczylas,Kents Hill,F,16,L,2,4,6,0.38
408,Matas,Janulis,Lawrence Academy,D,13,L,1,5,6,0.46
409,London,McDonald,Tabor,F,13,R,2,4,6,0.46
410,Leo,Kavey,Tabor,F,13,L,2,4,6,0.46
411,Colton,Cleaves,Brunswick,F,12,,4,2,6,0.5
412,Will,Carosi,St. Georges,F,14,L,2,4,6,0.43
413,Ryan,Clay,BB&N,D,9,R,1,5,6,0.67
414,Logan,Smith,Taft,D,10,L,1,5,6,0.6
415,Paul,Smith,Austin Prep,D,17,R,1,5,6,0.35
416,Brodie,Donovan,Governors Academy,F,14,L,1,5,6,0.43
417,Daniel,Chang,Groton,F,13,,1,5,6,0.46
418,Brody,Latkin,Avon Old Farms,D,11,R,0,6,6,0.55
419,Bruce,Danaher,Pingree,F,13,L,0,6,6,0.46
420,Tyler,Poti,Winchendon,D,16,L,0,6,6,0.38
421,Liam,Carlin,Winchendon,F,15,R,0,6,6,0.4
422,Jack,Daly,Loomis Chaffee,D,12,L,0,6,6,0.5
423,Brett,Kohut,Millbrook,F,15,R,3,2,5,0.33
424,Xander,Boutilier,Kimball Union,F,3,,2,3,5,1.67
425,James,Reilly,Berkshire School,D,17,R,3,2,5,0.29
426,Nolan,Wilson,Groton,F,13,R,3,2,5,0.38
427,Gehrig,White,Kents Hill,D,16,R,3,2,5,0.31
428,James,Albers,Holderness,F,12,R,4,1,5,0.42
429,Travis,Gillen,Brewster,F,7,,4,1,5,0.71
430,Rahmi,Moazzez,The Hill School,D,16,R,3,2,5,0.31
431,Hayden,Addison,NMH,F,14,R,1,4,5,0.36
432,Aiden,Ayojiak,Hoosac,F,9,L,2,3,5,0.56
433,Graham,Phinney,Mount St. Charles,D,10,L,2,3,5,0.5
434,Hunter,Henderson,Holderness,F,12,L,3,2,5,0.42
435,Nick,Burns,Wilbraham & Monson,C,5,L,5,0,5,1
436,Jack,Cannon,Andover,F,15,R,2,3,5,0.33
437,Mason,Keramidas,Albany Academy,F,18,R,3,2,5,0.28
438,Aiden,Bean,Kimball Union,F,20,,2,3,5,0.25
439,Aidan,Lally,Berwick,F,15,L,2,3,5,0.33
440,Joe,Gannon,Taft,F,10,R,2,3,5,0.5
441,Brady,Smith,Taft,D,10,L,1,4,5,0.5
442,Andy,Xu,Choate Rosemary Hall,F,10,R,4,1,5,0.5
443,Landon,Brawn,Williston-Northampton,F,15,R,3,2,5,0.33
444,Logan,Melillo,Millbrook,D,19,R,1,4,5,0.26
445,Jack,McCullough,Brunswick,D,14,,1,4,5,0.36
446,Liam,Walker,BB&N,F,11,L,3,2,5,0.45
447,Danny,Porter,St. Sebastian's,F,11,R,4,1,5,0.45
448,Chris,Gannon,Millbrook,F,19,R,2,3,5,0.26
449,Artie,Ambuhl,Millbrook,F,17,L,2,3,5,0.29
450,Cooper,Shea,Thayer Academy,D,14,L,2,3,5,0.36
451,Jack,Oliver,Albany Academy,F,18,L,2,3,5,0.28
452,Olivier,Benoit,Tabor,D,13,L,2,3,5,0.38
453,Cam,Plourde,North Yarmouth,F,20,L,1,4,5,0.25
454,John,Shaughnessy,Tabor,F,13,L,4,1,5,0.38
455,Dan,Tracy,NMH,F,17,L,2,3,5,0.29
456,Alex,Khamichonak,The Hill School,F,16,L,2,3,5,0.31
457,Max,Hu,Loomis Chaffee,D,12,L,1,4,5,0.42
458,Andrew,Dunleavy,St. Marks,RW,12,,3,2,5,0.42
459,Jared,Hughes,St. Sebastian's,F,12,L,3,2,5,0.42
460,TJ,Petropoulos,Milton Academy,F,16,R,2,3,5,0.31
461,Aidan,Patton,Hotchkiss School,F,10,L,2,3,5,0.5
462,Talon,Beyer,Berwick,F,15,L,3,2,5,0.33
463,Gavin,Bishop,Millbrook,D,19,L,1,4,5,0.26
464,Phil,Groeling,New Hampton,F,16,R,2,3,5,0.31
465,Tynan,Moses,Pingree,D,13,L,1,4,5,0.38
466,Will,Sheehan,Pingree,RW,13,R,2,3,5,0.38
467,Xander,Robertson,Vermont Academy,F,16,R,4,1,5,0.31
468,Leyton,Riendeau,Vermont Academy,D,16,L,2,3,5,0.31
469,Michael,Ronan,New Hampton,F,16,L,2,3,5,0.31
470,Alex,Robbins,BB&N,F,10,L,1,4,5,0.5
471,Thomas,Mattera,Roxbury Latin,F,9,L,3,2,5,0.56
472,Chay,Simons,St. Paul's School,D,16,L,1,4,5,0.31
473,Carter,Doherty,St. Paul's School,F,15,L,2,3,5,0.33
474,Brodie,Anderson,Cushing Academy,D,15,R,1,4,5,0.33
475,Louis,Marobella,Belmont Hill,D,16,R,1,4,5,0.31
476,Matthew,Bowolick,St. Georges,F,14,R,2,3,5,0.36
477,Michael,Battista,Lawrence Academy,F,13,L,4,1,5,0.38
478,Patrick,Maguire,Lawrence Academy,F,13,L,2,3,5,0.38
479,Sam,Chartier,Williston-Northampton,D,15,R,1,4,5,0.33
480,Conor,Reilly,Brewster,F,7,,2,3,5,0.71
481,RJ,Grace,Winchendon,D,16,L,1,4,5,0.31
482,George,Kavanaugh,New Hampton,D,17,L,1,4,5,0.29
483,Jameson,Needham,St. Sebastian's,F,10,R,2,3,5,0.5
484,Jamison,Nicosia,Middlesex,F,10,L,1,4,5,0.5
485,Harrison,Ooten,Vermont Academy,D,16,R,1,4,5,0.31
486,Josh,Levy,Milton Academy,D,16,R,2,3,5,0.31
487,Jalen,Carter,Choate Rosemary Hall,F,10,L,2,3,5,0.5
488,Kurt,Beck,Dexter,D,16,L,1,4,5,0.31
489,Nolan,Wrenn,Pomfret,D,16,R,1,4,5,0.31
490,Michael,Nerich,Tilton,D,15,R,0,5,5,0.33
491,Ethan,Wang,Kent School,F,6,R,0,5,5,0.83
492,Owen,Draddy,St. Georges,D,14,R,0,5,5,0.36
493,Stephen,Pinette,Worcester Academy,F,13,L,0,5,5,0.38
494,Gabriel,Auger,The Hill School,F,13,R,0,5,5,0.38
495,John,Lovell,Wilbraham & Monson,F,5,R,0,5,5,1
496,Alex,Zinman,Brunswick,D,14,,0,5,5,0.36
497,Nathan,Caples,Deerfield Academy,D,9,L,0,5,5,0.56
498,Marek,Oboril,NMH,D,17,L,0,5,5,0.29
499,Carson,Craig,Westminster,D,11,L,0,5,5,0.45
500,Aaron,Sheck,Kimball Union,D,20,,0,5,5,0.25
501,Alex,Guo,Belmont Hill,D,16,L,0,5,5,0.31
502,Chase,McCoy,Tabor,F,13,R,0,5,5,0.38
503,Landon,Roe,Belmont Hill,F,16,,0,5,5,0.31
504,George,Tsatas,Westminster,D,11,L,0,5,5,0.45
505,Eric,Bagg,Exeter,F,14,L,3,1,4,0.29
506,Michael,Contino,Millbrook,F,19,R,1,3,4,0.21
507,Tyler,Callander,Exeter,F,14,L,1,3,4,0.29
508,Josh,Dietz,Albany Academy,F,14,R,3,1,4,0.29
509,Jan,Hlavka,Hoosac,F,9,L,3,1,4,0.44
510,Hunter,Hanford,Brunswick,F,13,,4,0,4,0.31
511,Jonathan,Chon,Canterbury,F,15,L,1,3,4,0.27
512,Max,Menkowitz,The Hill School,F,16,R,4,0,4,0.25
513,Brady,Lecuyer,Mount St. Charles,D,10,L,1,3,4,0.4
514,Robbie,Mcphee,Worcester Academy,F,13,L,3,1,4,0.31
515,Massimo,Guarnieri,Westminster,F,11,R,3,1,4,0.36
516,Ethan,Machado,Cushing Academy,F,15,R,2,2,4,0.27
517,Thomas,Broderick,Dexter,D,16,L,2,2,4,0.25
518,Henning,Reinnprecht,Taft,F,7,L,3,1,4,0.57
519,Cam,Menhall,Lawrence Academy,F,13,L,1,3,4,0.31
520,Keenan,Hauser,Choate Rosemary Hall,F,4,R,2,2,4,1
521,Owen,Hannah,Deerfield Academy,F,12,L,3,1,4,0.33
522,William,Kertesz,Deerfield Academy,F,12,L,3,1,4,0.33
523,Justin,Dupuis,Choate Rosemary Hall,D,11,R,2,2,4,0.36
524,Charlie,Delay,St. Sebastian's,F,5,L,1,3,4,0.8
525,Dylan,Jordan,Proctor Academy,F,16,R,2,2,4,0.25
526,Finn,Gatta,Millbrook,F,17,R,3,1,4,0.24
527,Owen,Lundin,Lawrence Academy,C,12,R,2,2,4,0.33
528,Jacob,Turcotte,Winchendon,D,15,R,1,3,4,0.27
529,Jonah,Lindsay,Albany Academy,D,18,L,2,2,4,0.22
530,Grant,Solomon,Tabor,F,13,L,2,2,4,0.31
531,Rick,Cheng,Lawrenceville School,D,11,L,2,2,4,0.36
532,Brody,Nies,Holderness,D,8,R,1,3,4,0.5
533,Kevin,Summers,Vermont Academy,D/F,16,L,3,1,4,0.25
534,Caleb,Keyes,Worcester Academy,F,13,R,4,0,4,0.31
535,Colin,Celiberti,Worcester Academy,F,13,R,2,2,4,0.31
536,Joey,Burke,Loomis Chaffee,F,12,L,2,2,4,0.33
537,Miles,Sobky,Proctor Academy,F,16,R,1,3,4,0.25
538,Cameron,Hunchak,Choate Rosemary Hall,F,11,R,1,3,4,0.36
539,Chris,Welby,St. Sebastian's,F,12,R,2,2,4,0.33
540,Emilien,Goudreault,Kents Hill,F,16,R,3,1,4,0.25
541,Dylan,Rafail,Kent School,F,13,R,1,3,4,0.31
542,Shane,Fraser,Loomis Chaffee,F,12,L,2,2,4,0.33
543,Luke,Walkauskas,Salisbury School,F,12,,3,1,4,0.33
544,Keegan,Sears,Kent School,F,13,R,3,1,4,0.31
545,Connor,Emens,Canterbury,D,15,R,1,3,4,0.27
546,Hayden,Meskin,Loomis Chaffee,D,12,R,2,2,4,0.33
547,Colton,Stecchini,Lawrenceville School,F,11,R,1,3,4,0.36
548,Evan,Seow,Hotchkiss School,D,10,L,1,3,4,0.4
549,James,Connor,Berwick,D,15,L,1,3,4,0.27
550,Dylan,Potvin,Governors Academy,F,14,L,2,2,4,0.29
551,Blake,Abramson,NMH,F,17,R,2,2,4,0.24
552,Chase,Warsofsky,Cushing Academy,F,14,L,1,3,4,0.29
553,Will,Archibald,Roxbury Latin,D,10,R,2,2,4,0.4
